Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,5,1067.625,0.375,237.875,0.0836,4000,2847,0,0,0,1153,0,1213,1213,2787,1634,0,0,7273.0,2426.0,7273.0,659.1999999999482,0.0,0.0,63.972260908774835,1.0747,0.3791,1.7859,0,803.3915,80.3391,729.8217,729.8217,72.6198,18.1549,0.95,0.19,2.2549,0,9.0861,0.2069,11.1237,0,0,37.2234,99.1616,-1.0,[98.82730225777777- 99.49584816132857],[]
EDGE_AND_CLOUD,ROUND_ROBIN,10,1471.875,0.375,1817.83,0.4631,16000,3925,0,11000,0,1075,0,1456,1456,3544,2469,0,0,118293.0,2912.0,118293.0,25683.19999999468,0.0,0.0,38.12827896641258,0.4652,0.455,1.1656,0,948.5788,63.2386,876.0267,876.0267,70.5521,17.638,2,0.2,12.4792,0,37.5734,17.4209,32.6289,0,0,33.4896,99.1207,-1.0,[98.89487279999999- 98.82840126222221- 98.88863093333333- 99.49584816132857- 99.49584816132857],[]
EDGE_AND_CLOUD,ROUND_ROBIN,15,1348.875,0.375,1235.79,0.3436,29000,3597,0,22000,0,3403,0,1516,1516,5484,2081,0,0,227625.0,3032.0,227625.0,50898.70000001187,0.0,0.0,29.665619733187917,0.384,0.4738,1.1297,0,985.509,49.2754,912.1267,912.1267,70.4323,17.6081,2.95,0.1967,11.7324,0,55.0438,38.3554,28.4208,0,0,33.912,95.6956,-1.0,[74.75377777777895- 98.91026814222224- 98.86383996444444- 98.85362144- 99.49584816132857- 99.49584816132857- 99.49584816132857],[]
EDGE_AND_CLOUD,ROUND_ROBIN,20,2498.25,0.375,3553.075,0.5333,32000,6662,0,22000,0,3338,0,1896,1896,8104,4766,0,0,234114.0,3792.0,234114.0,51488.80000002032,0.0,0.0,33.54968151317573,0.7154,0.5925,2.8922,0,1221.0673,48.8427,1140.76,1140.76,76.3073,19.0768,4,0.2,7.7143,0,76.8632,38.5287,46.0471,0,0,33.0359,96.701,-1.0,[98.84963080888889- 74.75377777777895- 98.85719770666667- 98.88930243555556- 98.79285953777777- 98.8841871111111- 99.49584816132857- 99.49584816132857- 99.49584816132857- 99.49584816132857],[]
