Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,5,65.25,0.375,0,0,400,174,0,0,0,226,0,125,125,275,49,0,0,624.0,250.0,624.0,54.99999999999901,0.0,0.0,1070.6363636363637,0.0477,0.0378,0.0741,0,145.3341,14.5334,75.2083,75.2083,69.1441,17.286,0.9817,0.1963,0.2645,0,0.7948,0.0193,1.0389,0,0,37.24,99.2669,-1.0,[99.05477431703706- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,10,154.875,0.375,0,0,700,413,0,200,0,87,0,140,140,360,273,0,0,1355.0,280.0,1355.0,1237.5999999999597,0.0,0.0,1126.1014344262296,0.154,0.0423,0.4128,0,156.6108,10.4407,84.2333,84.2333,70.3108,17.5777,2.0667,0.2067,0.2277,0,2.0394,0.8608,1.4062,0,0,33.4986,99.1821,-1.0,[99.05797886814815- 99.05654981925926- 98.83790814814814- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,15,231,0.375,0,0,1100,616,0,400,0,84,0,160,160,540,456,0,0,1958.0,320.0,1958.0,2399.6000000000004,0.0,0.0,1096.4151337792641,0.2159,0.0484,0.6895,0,170.5789,8.5289,96.2667,96.2667,71.2639,17.816,3.0483,0.2032,1.2754,0,3.9158,1.6541,3.5368,0,0,34.5676,99.2063,-1.0,[99.05350208592594- 99.06082069925928- 99.05490416592595- 98.83790814814814- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,20,228.375,0.375,0,0,1400,609,0,400,0,391,0,181,181,819,428,0,0,2171.0,362.0,2171.0,2443.0000000000036,0.0,0.0,1041.6129856850714,0.1555,0.0547,0.6472,0,184.1531,7.3661,108.9017,108.9017,71.1181,17.7795,4.1333,0.2067,0.8546,0,4.9365,1.6973,4.0927,0,0,33.4984,99.1808,-1.0,[99.05443870814815- 99.05552672592593- 99.04854400592595- 98.83790814814814- 98.83790814814814- 99.0570261214815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
