Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,5,109.875,0.375,0,0,400,293,0,0,0,107,0,117,117,283,176,0,0,1118.0,484.0,1118.0,67.5999999999983,0.0,0.0,1065.310650887574,0.1375,0.0354,0.2129,0,158.4044,14.4004,70.395,70.395,87.0278,17.4056,0.9817,0.1963,0.8667,0,1.8757,0.0372,2.7049,0,0,37.2396,99.265,-1.0,[99.05101769481483- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,10,166.125,0.375,0,0,700,443,0,200,0,57,0,160,160,340,283,0,0,1263.0,560.0,1263.0,1228.199999999964,0.0,0.0,1027.0030234315946,0.1467,0.0484,0.3423,0,185.9184,11.6199,96.2667,96.2667,87.5851,17.517,2.0667,0.2067,0.006,0,3.3618,0.8157,2.5498,0,0,33.5064,99.2236,-1.0,[99.05344272592592- 99.05318830814815- 99.05327492148149- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,15,184.125,0.375,0,0,1100,491,0,400,0,209,0,249,249,451,242,0,0,2477.0,1086.0,2477.0,2412.400000000002,0.0,0.0,1125.0236027190333,0.1099,0.0753,0.2927,0,240.2349,11.4398,149.815,149.815,87.3715,17.4743,3.0483,0.2032,1.0028,0,3.8819,1.9032,2.9805,0,0,34.5306,99.0091,-1.0,[97.45765925925924- 99.05581909925927- 99.05356173037039- 99.05973810370371- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,20,360.375,0.375,0,0,1400,961,0,400,0,39,0,167,167,833,794,0,0,4271.0,2438.0,4271.0,2486.2000000000207,0.0,0.0,998.7426244746224,0.2696,0.0505,0.9605,0,194.8582,7.4945,100.4783,100.4783,90.2465,18.0493,4.1333,0.2067,9.8356,0,5.7575,2.0075,13.5828,0,0,33.4723,99.042,-1.0,[99.0539298725926- 99.05308000592592- 97.45765925925924- 99.04943710814815- 99.05198656592593- 98.83790814814814- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
