Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,5,150,0.375,0,0,400,400,0,0,0,0,0,120,120,280,280,0,0,840.0,240.0,840.0,57.99999999999884,0.0,0.0,1100.646551724138,0.2162,0.0363,0.3387,0,160.7511,14.6137,72.2,72.2,87.5694,17.5139,0.9817,0.1963,0.2118,0,1.0709,0.0223,1.2593,0,0,37.2396,99.2646,-1.0,[99.05008663703705- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,10,170.625,0.375,0,0,700,455,0,200,0,45,0,133,133,367,322,0,0,1199.0,266.0,1199.0,1239.9999999999561,0.0,0.0,1062.7263888888886,0.1657,0.0402,0.3895,0,169.8765,10.6173,80.0217,80.0217,87.7882,17.5576,2.0667,0.2067,0.233,0,2.6888,1.0633,1.8574,0,0,33.4466,98.9049,-1.0,[97.45765925925924- 99.05290677925927- 99.0560355614815- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,15,238.5,0.375,0,0,1100,636,0,400,0,64,0,150,150,550,486,0,0,1826.0,300.0,1826.0,2416.600000000013,0.0,0.0,1068.639173580608,0.2132,0.0454,0.5879,0,181.9407,8.6638,90.25,90.25,88.6424,17.7285,3.0483,0.2032,0.4753,0,4.3346,1.86,2.9488,0,0,34.5304,99.0081,-1.0,[99.05149941925926- 97.45765925925924- 99.05440631703705- 99.05590557037038- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,20,277.5,0.375,0,0,1400,740,0,400,0,260,0,184,184,816,556,0,0,2508.0,368.0,2508.0,2444.300000000009,0.0,0.0,1056.2715560965714,0.1899,0.0556,0.6726,0,203.8469,7.8403,110.7067,110.7067,89.0069,17.8014,4.1333,0.2067,1.7399,0,5.4473,1.8874,5.2998,0,0,33.4767,99.0651,-1.0,[99.05401106370371- 99.05418429037039- 99.05219232592593- 99.05755664592594- 97.45765925925924- 99.05909399703705- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
