Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,5,131.25,0.375,0,0,400,350,0,0,0,50,0,125,125,275,225,0,0,775.0,250.0,775.0,72.49999999999802,0.0,0.0,1094.6091954022988,0.1998,0.0378,0.3402,0,146.2508,14.6251,75.2083,75.2083,70.0608,17.5152,0.9817,0.1963,0.2636,0,0.5461,0.0214,0.7871,0,0,37.2404,99.269,-1.0,[99.05888281481482- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,10,158.25,0.375,0,0,700,422,0,200,0,78,0,41,41,459,381,0,0,1204.0,82.0,1204.0,1231.8999999999621,0.0,0.0,1077.7566195139643,0.2106,0.0124,0.5761,0,97.6083,6.5072,24.6683,24.6683,70.8733,17.7183,2.0667,0.2067,0.2121,0,2.1297,0.8516,1.4901,0,0,33.4984,99.1813,-1.0,[99.05508837925926- 99.05516957037038- 98.83790814814814- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,15,225,0.375,0,0,1100,600,0,400,0,100,0,41,41,659,559,0,0,1782.0,82.0,1782.0,2406.100000000002,0.0,0.0,1091.6336241078511,0.261,0.0124,0.8453,0,99.517,4.9759,24.6683,24.6683,71.8003,17.9501,3.0483,0.2032,0.432,0,3.9931,1.8961,2.529,0,0,34.5244,98.9761,-1.0,[99.04878757925925- 99.0513045037037- 97.45765925925924- 98.83790814814814- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,20,351,0.375,0,0,1400,936,0,400,0,64,0,299,299,701,637,0,0,2834.0,598.0,2834.0,2460.100000000015,0.0,0.0,1039.9500277623565,0.232,0.0904,0.9632,0,256.2383,10.2495,179.8983,179.8983,72.2066,18.0516,4.1333,0.2067,1.5768,0,6.2458,1.6829,6.1392,0,0,33.5023,99.2018,-1.0,[99.05106093037038- 99.05985182814815- 99.05081735703705- 99.05081735703705- 99.05146688592592- 98.83790814814814- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
