2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:54    location: ( 39.0,24.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:55    location: ( 60.0,11.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:56    location: ( 63.0,18.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:57    location: ( 77.0,35.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:58    location: ( 72.0,10.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:59    location: ( 42.0,45.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:60    location: ( 8.0,50.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:61    location: ( 62.0,10.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:62    location: ( 0.0,93.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:63    location: ( 43.0,49.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:64    location: ( 24.0,29.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:65    location: ( 43.0,27.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:66    location: ( 63.0,77.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:67    location: ( 88.0,91.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:68    location: ( 49.0,34.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:69    location: ( 46.0,9.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:70    location: ( 1.0,59.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:71    location: ( 26.0,83.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:72    location: ( 62.0,34.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:73    location: ( 35.0,17.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:74    location: ( 17.0,39.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:75    location: ( 68.0,30.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:76    location: ( 66.0,35.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:77    location: ( 15.0,97.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:78    location: ( 16.0,72.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:79    location: ( 72.0,80.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:80    location: ( 51.0,11.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:81    location: ( 15.0,40.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:82    location: ( 5.0,87.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:83    location: ( 89.0,32.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:84    location: ( 41.0,20.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:85    location: ( 31.0,68.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:86    location: ( 85.0,78.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:87    location: ( 36.0,48.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:88    location: ( 29.0,21.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:89    location: ( 39.0,27.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:90    location: ( 30.0,30.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:91    location: ( 27.0,2.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:92    location: ( 7.0,55.0 )
2022/08/15 21:26:22 - simulation time       0 (s) : ComputingNodesGenerator- Edge device:93    location: ( 61.0,2.0 )
