Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,5,131337,0.375,9707372.5,27.717,400000,342912,0,55767,0,1321,0,326612,319732,73388,23180,0,0,3464011.0,4219101.0,3464011.0,73232.25000201873,0.0,0.0,1.5221458378254664,0.0625,0.125,0.0781,0,617.0875,61.7088,481.3333,481.3333,133.8542,33.4635,1.9,0.38,1346.6429,0,565.9142,56.2759,1856.2813,0,0,34.9534,87.5585,-1.0,[76.12527653327096- 98.99169632265718],[]
EDGE_AND_CLOUD,ROUND_ROBIN,10,22619.625,0.375,1122890.965,18.6159,700000,59855,0,407940,0,232205,0,40663,40663,459337,19192,0,0,6.02590629E8,460584.0,6.02590629E8,1196571.4000015582,0.0,0.0,0.8648902842560443,0.024,0.2202,0.0111,0,5082.5888,338.8393,4374.1167,4374.1167,688.158,172.0395,20.3142,2.0314,428.4858,0,1664.3623,1059.895,1032.9532,0,1,33.4975,83.9808,5040.0,[72.2094922251417- 0.0- 74.11593579848125- 94.79883353104009- 94.79883353104009],[5040.0]
EDGE_AND_CLOUD,ROUND_ROBIN,15,99724.5,0.375,4544881.625,17.0904,1100000,62591,0,855928,0,181481,0,252200,49139,447800,13452,0,0,1.216992798E9,5.6641581E7,1.216992798E9,2392450.349995482,0.0,0.0,0.9052443684312267,0.0075,0.0546,0.0106,0,1798.9237,89.9462,1083,1083,687.0312,171.7578,28.8925,1.9262,2271.0377,0,2343.9733,1661.003,2953.6911,0,1,33.4762,83.8587,806.0,[0.0- 71.93811859550802- 74.50544229329672- 72.28717011551923- 94.8072360616846- 94.8072360616846- 94.8072360616846],[806.0]
EDGE_AND_CLOUD,ROUND_ROBIN,20,59280.375,0.375,1809083.6,11.444,1400000,157881,0,1093572,0,148547,0,148001,148001,851999,9880,0,0,1.205682968E9,712695.0,1.205682968E9,2398401.4499964584,0.0,0.0,0.619649343051756,0.0063,0.0906,0.0041,0,3757.6406,150.3056,2676.2133,2676.2133,1023.5417,255.8854,57.8856,2.8943,169.5275,0,2463.4248,1900.9345,730.6475,0,2,32.5588,81.5087,709.0,[72.47531790221103- 71.54435813331197- 0.0- 68.24525283550362- 0.0- 70.75965107553074- 92.26126927639405- 92.26126927639405- 92.26126927639405- 92.26126927639405],[709.0- 5057.0]
