Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,5,56.25,0.375,0,0,400,150,0,0,0,250,0,125,125,275,25,0,0,800.0,250.0,800.0,52.499999999999154,0.0,0.0,1154.047619047619,0.027,0.0378,0.0378,0,145.2091,14.5209,75.2083,75.2083,69.0191,17.2548,0.9817,0.1963,0.2697,0,0.5481,0.0307,0.7871,0,0,37.2404,99.269,-1.0,[99.05888281481482- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,10,142.875,0.375,0,0,700,381,0,200,0,119,0,140,140,360,241,0,0,1281.0,280.0,1281.0,1233.999999999959,0.0,0.0,1085.212765957447,0.1364,0.0423,0.3644,0,156.4441,10.4296,84.2333,84.2333,70.1441,17.536,2.0667,0.2067,0.0067,0,2.7498,0.8568,1.8992,0,0,33.4982,99.1799,-1.0,[99.05343730370372- 99.05000544592593- 98.83790814814814- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,15,177,0.375,0,0,1100,472,0,400,0,228,0,160,160,540,312,0,0,1880.0,320.0,1880.0,2391.0999999999995,0.0,0.0,1132.7970297029703,0.1489,0.0484,0.4718,0,169.8289,8.4914,96.2667,96.2667,70.5139,17.6285,3.0483,0.2032,1.0572,0,3.6676,1.8701,2.8546,0,0,34.5307,99.0095,-1.0,[97.45765925925924- 99.0626773925926- 99.05493669925926- 99.05420597925927- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,20,322.5,0.375,0,0,1400,860,0,400,0,140,0,280,280,720,580,0,0,2738.0,560.0,2738.0,2466.000000000009,0.0,0.0,1068.2997311827955,0.2113,0.0847,0.877,0,244.5097,9.7804,168.4667,168.4667,71.9097,17.9774,4.1333,0.2067,2.414,0,4.6517,1.9331,5.1323,0,0,33.4727,99.0437,-1.0,[98.83790814814814- 99.05234928592593- 97.45765925925924- 99.0576269925926- 99.05355088592593- 99.06193582814815- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
