Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,5,97.5,0.375,0,0,400,260,0,0,0,140,0,120,120,280,140,0,0,900.0,240.0,900.0,53.99999999999907,0.0,0.0,1169.351851851852,0.1104,0.0363,0.1694,0,160.0219,14.5474,72.2,72.2,86.8403,17.3681,0.9817,0.1963,0.217,0,0.6545,0.032,0.8395,0,0,37.2402,99.2679,-1.0,[99.05679881481481- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,10,133.125,0.375,0,0,700,355,0,200,0,145,0,34,34,466,321,0,0,1101.0,68.0,1101.0,1228.7999999999624,0.0,0.0,1052.910723223223,0.1627,0.0103,0.3883,0,110.3063,6.8941,20.4567,20.4567,87.783,17.5566,2.0667,0.2067,0.2425,0,2.6871,1.0616,1.8679,0,0,33.4467,98.9051,-1.0,[97.45765925925924- 99.05315577481481- 99.05676085925927- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,15,198.375,0.375,0,0,1100,529,0,400,0,171,0,134,134,566,395,0,0,1897.0,268.0,1897.0,2406.2000000000003,0.0,0.0,1107.5684539531608,0.1735,0.0405,0.4778,0,171.8401,8.1829,80.6233,80.6233,88.1684,17.6337,3.0483,0.2032,1.412,0,3.2541,1.9057,2.7604,0,0,34.5248,98.9781,-1.0,[99.05399479703705- 98.83790814814814- 99.06028475259261- 97.45765925925924- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,20,263.625,0.375,0,0,1400,703,0,400,0,297,0,250,250,750,453,0,0,2603.0,500.0,2603.0,2466.0000000000246,0.0,0.0,1096.3440860215053,0.1564,0.0756,0.548,0,243.0205,9.3469,150.4167,150.4167,88.4705,17.6941,4.1333,0.2067,1.4507,0,4.0876,1.97,3.5683,0,0,33.4685,99.0215,-1.0,[98.83790814814814- 99.05683677037037- 99.05130464592594- 98.83790814814814- 99.05701527703705- 97.45765925925924- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
