Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,5,131.25,0.375,0,0,400,350,0,0,0,50,0,224,224,176,126,0,0,1150.0,448.0,1150.0,72.39999999999803,0.0,0.0,1192.2997237569061,0.1185,0.0677,0.1905,0,205.3001,20.53,134.7733,134.7733,69.5451,17.3863,0.9817,0.1963,0.0127,0,0.5553,0.0431,0.5247,0,0,37.2404,99.269,-1.0,[99.05896400592593- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,10,143.25,0.375,0,0,700,382,0,200,0,118,0,61,61,439,321,0,0,1204.0,122.0,1204.0,1232.1999999999614,0.0,0.0,1041.8926247288503,0.1782,0.0184,0.4854,0,109.3291,7.2886,36.7017,36.7017,70.5608,17.6402,2.0667,0.2067,0.6428,0,2.7225,0.8152,2.5501,0,0,33.5068,99.2256,-1.0,[99.05000544592593- 99.06040932148149- 99.05964606814817- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,15,161.25,0.375,0,0,1100,430,0,400,0,270,0,150,150,550,280,0,0,1630.0,300.0,1630.0,2398.0999999999985,0.0,0.0,1102.159187129551,0.1338,0.0454,0.4234,0,163.6456,8.1823,90.25,90.25,70.3472,17.5868,3.0483,0.2032,0.5279,0,3.2573,1.8952,1.889,0,0,34.5247,98.9779,-1.0,[98.83790814814814- 99.05426005925926- 97.45765925925924- 99.05839024592593- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
EDGE_AND_CLOUD,ROUND_ROBIN,20,283.5,0.375,0,0,1400,756,0,400,0,244,0,280,280,720,476,0,0,2404.0,560.0,2404.0,2445.3000000000075,0.0,0.0,1094.1923774954628,0.1743,0.0847,0.7198,0,243.9681,9.7587,168.4667,168.4667,71.3681,17.842,4.1333,0.2067,1.1092,0,4.6003,1.9194,3.7885,0,0,33.4727,99.0438,-1.0,[99.06249874370371- 98.83790814814814- 97.45765925925924- 99.05778937481483- 99.05081735703705- 99.05527230814816- 99.47904310003955- 99.47904310003955- 99.47904310003955- 99.47904310003955],[]
